Rank,MovieName,ReleaseYear,EloRating,TimesCompeted,LetterboxdLink
155,Juno,2007,1137,13,https://letterboxd.com/film/juno/
156,The Wizard of Oz,1939,1136,13,https://letterboxd.com/film/the-wizard-of-oz-1939/
157,Captain America: Civil War,2016,1135,13,https://letterboxd.com/film/captain-america-civil-war/
158,Spotlight,2015,1135,13,https://letterboxd.com/film/spotlight/
159,Kung Fu Panda 2,2011,1134,13,https://letterboxd.com/film/kung-fu-panda-2/
160,Chef,2014,1134,13,https://letterboxd.com/film/chef/
161,Monty Python's Life of Brian,1979,1134,13,https://letterboxd.com/film/monty-pythons-life-of-brian/
162,Lilo & Stitch,2002,1132,13,https://letterboxd.com/film/lilo-stitch/
163,Zootopia,2016,1129,12,https://letterboxd.com/film/zootopia/
164,Office Space,1999,1129,13,https://letterboxd.com/film/office-space/
165,Knives Out,2019,1128,12,https://letterboxd.com/film/knives-out-2019/
166,Captain America: The Winter Soldier,2014,1126,13,https://letterboxd.com/film/captain-america-the-winter-soldier/
167,Airplane!,1980,1125,13,https://letterboxd.com/film/airplane/
168,Nimona,2023,1125,13,https://letterboxd.com/film/nimona-2023/
169,The Batman,2022,1125,13,https://letterboxd.com/film/the-batman/
170,"O'Brother, Where Art Thou",2000,1124,13,https://letterboxd.com/film/o-brother-where-art-thou/
171,John Wick,2014,1124,13,https://letterboxd.com/film/john-wick/
172,Guardians of the Galaxy: Volume 2,2017,1123,13,https://letterboxd.com/film/guardians-of-the-galaxy-volume-2/
173,King Richard,2021,1121,12,https://letterboxd.com/film/king-richard/
174,E.T. the Extra-Terrestrial,1982,1120,13,https://letterboxd.com/film/et-the-extra-terrestrial/
175,WarGames,1983,1119,13,https://letterboxd.com/film/wargames/
176,Back to the Future Part III,1990,1119,13,https://letterboxd.com/film/back-to-the-future-part-iii/
177,Bohemian Rhapsody,2018,1117,13,https://letterboxd.com/film/bohemian-rhapsody/
178,The Hunger Games,2012,1116,13,https://letterboxd.com/film/the-hunger-games/
179,Limitless,2011,1115,13,https://letterboxd.com/film/limitless/
180,Wreck-It Ralph,2012,1115,13,https://letterboxd.com/film/wreck-it-ralph/
181,Star Wars: Episode III - Revenge of the Sith,2005,1114,12,https://letterboxd.com/film/star-wars-episode-iii-revenge-of-the-sith/
182,Spider-Man 2,2004,1114,13,https://letterboxd.com/film/spider-man-2/
183,Willy Wonka & the Chocolate Factory,1971,1114,12,https://letterboxd.com/film/willy-wonka-the-chocolate-factory/
184,Sixteen Candles,2016,1110,13,https://letterboxd.com/film/sixteen-candles/
185,Guardians of the Galaxy,2014,1109,12,https://letterboxd.com/film/guardians-of-the-galaxy/
186,Harry Potter and the Deathly Hallows Part 2,2011,1108,13,https://letterboxd.com/film/harry-potter-and-the-deathly-hallows-part-2/
187,Robot Dreams,2023,1107,13,https://letterboxd.com/film/robot-dreams/
188,The Hunger Games: Catching Fire,2013,1106,13,https://letterboxd.com/film/the-hunger-games-catching-fire/
189,The Breakfast Club,1985,1105,13,https://letterboxd.com/film/the-breakfast-club/
190,Up,2009,1105,13,https://letterboxd.com/film/up/
191,Star Wars: Episode VII - The Force Awakens,2015,1104,13,https://letterboxd.com/film/star-wars-episode-vii-the-force-awakens/
192,Finding Nemo,2003,1103,12,https://letterboxd.com/film/finding-nemo/
193,Inside Out 2,2024,1103,13,https://letterboxd.com/film/inside-out-2-2024/
194,Gifted,2017,1103,13,https://letterboxd.com/film/gifted-2017/
195,The King's Speech,2010,1103,13,https://letterboxd.com/film/the-kings-speech/
196,Elemental,2023,1102,12,https://letterboxd.com/film/elemental-2023/
197,Rocky,1976,1102,12,https://letterboxd.com/film/rocky/
198,The Secret Life of Walter Mitty,2013,1101,13,https://letterboxd.com/film/the-secret-life-of-walter-mitty-2013/
199,Beauty and the Beast,1991,1101,13,https://letterboxd.com/film/beauty-and-the-beast-1991/
200,American Sniper,2014,1101,13,https://letterboxd.com/film/american-sniper/
201,Avatar: The Way of Water,2022,1099,13,https://letterboxd.com/film/avatar-the-way-of-water/
202,Casino Royale,2006,1098,13,https://letterboxd.com/film/casino-royale-2006/
203,Zootopia 2,2025,1096,12,https://letterboxd.com/film/zootopia-2/
204,Megamind,2010,1095,13,https://letterboxd.com/film/megamind/
205,Deadpool 2,2018,1094,13,https://letterboxd.com/film/deadpool-2/
206,Batman,1989,1094,13,https://letterboxd.com/film/batman-1989/
207,Men in Black,1997,1094,12,https://letterboxd.com/film/men-in-black/
208,Stand and Deliver,1988,1093,13,https://letterboxd.com/film/stand-and-deliver/
209,Kung Fu Hustle,2004,1093,13,https://letterboxd.com/film/kung-fu-hustle/
210,The Tree of Life,2011,1092,13,https://letterboxd.com/film/the-tree-of-life-2011/
211,Friday the 13th,1980,1089,13,https://letterboxd.com/film/friday-the-13th/
212,Tangled,2010,1088,13,https://letterboxd.com/film/tangled-2010/
213,Spider-Man: Homecoming,2017,1088,12,https://letterboxd.com/film/spider-man-homecoming/
214,The Lego Batman Movie,2017,1086,13,https://letterboxd.com/film/the-lego-batman-movie/
215,The Founder,2016,1085,13,https://letterboxd.com/film/the-founder/
216,Harry Potter and the Prisoner of Azkaban,2004,1085,13,https://letterboxd.com/film/harry-potter-and-the-prisoner-of-azkaban/
217,The Super Mario Bros. Movie,2023,1084,13,https://letterboxd.com/film/the-super-mario-bros-movie/
218,Chicago,2002,1084,12,https://letterboxd.com/film/chicago/
219,The Devil Wears Prada,2006,1083,13,https://letterboxd.com/film/the-devil-wears-prada/
220,X-Men: Days of Future Past,2014,1083,13,https://letterboxd.com/film/x-men-days-of-future-past/
221,The Emperor's New Groove,2000,1082,13,https://letterboxd.com/film/the-emperors-new-groove/
222,Civil War,2024,1081,13,https://letterboxd.com/film/civil-war-2024/
223,Bridge of Spies,2015,1079,13,https://letterboxd.com/film/bridge-of-spies/
224,Little Shop of Horrors,1986,1079,13,https://letterboxd.com/film/little-shop-of-horrors/
225,Harry Potter and the Order of the Phoenix,2007,1075,13,https://letterboxd.com/film/harry-potter-and-the-order-of-the-phoenix/
226,Monsters University,2013,1073,13,https://letterboxd.com/film/monsters-university/
227,Caddyshack,1980,1072,13,https://letterboxd.com/film/caddyshack/
228,The Princess and the Frog,2009,1070,13,https://letterboxd.com/film/the-princess-and-the-frog/
229,Luca,2021,1070,13,https://letterboxd.com/film/luca-2021/
230,The Avengers,2012,1066,13,https://letterboxd.com/film/the-avengers-2012/
231,Black Panther,2018,1065,13,https://letterboxd.com/film/black-panther/
232,Fried Green Tomatoes,1991,1064,13,https://letterboxd.com/film/fried-green-tomatoes/
233,Shaun of the Dead,2004,1062,13,https://letterboxd.com/film/shaun-of-the-dead/
234,Rango,2011,1061,13,https://letterboxd.com/film/rango/
235,Meet the Robinsons,2007,1060,13,https://letterboxd.com/film/meet-the-robinsons/
236,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,1057,13,https://letterboxd.com/film/borat-cultural-learnings-of-america-for-make-benefit-glorious-nation-of-kazakhstan/
237,The Searchers,1956,1057,13,https://letterboxd.com/film/the-searchers/
238,Big Hero 6,2014,1057,13,https://letterboxd.com/film/big-hero-6/
239,Doctor Strange,2016,1052,13,https://letterboxd.com/film/doctor-strange/
240,X-Men: First Class,2011,1052,13,https://letterboxd.com/film/x-men-first-class/
241,Saw IV,2007,1050,13,https://letterboxd.com/film/saw-iv/
242,Harry Potter and the Half-Blood Prince,2009,1049,13,https://letterboxd.com/film/harry-potter-and-the-half-blood-prince/
243,How to Train Your Dragon,2025,1049,13,https://letterboxd.com/film/how-to-train-your-dragon/
244,Anchorman: The Legend of Ron Burgundy,2004,1048,13,https://letterboxd.com/film/anchorman-the-legend-of-ron-burgundy/
245,The Hobbit: An Unexpected Journey,2012,1047,13,https://letterboxd.com/film/the-hobbit-an-unexpected-journey/
246,The Fox and the Hound,1981,1046,13,https://letterboxd.com/film/the-fox-and-the-hound/
247,Free Guy,2021,1046,13,https://letterboxd.com/film/free-guy/
248,The Muppet Christmas Carol,1992,1045,13,https://letterboxd.com/film/the-muppet-christmas-carol/
249,Tarzan,1999,1045,13,https://letterboxd.com/film/tarzan/
250,Indiana Jones and the Temple of Doom,1984,1044,13,https://letterboxd.com/film/indiana-jones-and-the-temple-of-doom/
251,Revenge of the Nerds,1984,1043,13,https://letterboxd.com/film/revenge-of-the-nerds/
252,The Outsiders,1983,1043,13,https://letterboxd.com/film/the-outsiders/
253,Ant-Man,2015,1043,12,https://letterboxd.com/film/ant-man/
254,The Hitchhiker's Guide to the Galaxy,2005,1042,13,https://letterboxd.com/film/the-hitchhikers-guide-to-the-galaxy-2005/
255,Frozen,2013,1041,13,https://letterboxd.com/film/frozen-2013/
256,Final Destination,2000,1037,13,https://letterboxd.com/film/final-destination/
257,Harry Potter and the Goblet of Fire,2005,1037,13,https://letterboxd.com/film/harry-potter-and-the-goblet-of-fire/
258,Atlantis: The Lost Empire,2001,1036,13,https://letterboxd.com/film/atlantis-the-lost-empire/
259,Kingsman: The Golden Circle,2017,1035,12,https://letterboxd.com/film/kingsman-the-golden-circle/
260,Avatar,2009,1034,13,https://letterboxd.com/film/avatar/
261,Wonder Woman,2017,1032,13,https://letterboxd.com/film/wonder-woman-2017/
262,Eraserhead,1977,1032,12,https://letterboxd.com/film/eraserhead/
263,A Bug's Life,1998,1032,13,https://letterboxd.com/film/a-bugs-life/
264,Onward,2020,1032,13,https://letterboxd.com/film/onward-2020/
265,Sonic the Hedgehog 2,2022,1031,13,https://letterboxd.com/film/sonic-the-hedgehog-2/
266,A Minecraft Movie,2025,1030,13,https://letterboxd.com/film/a-minecraft-movie/
267,Final Destination 2,2003,1029,13,https://letterboxd.com/film/final-destination-2/
268,Shrek Forever After,2010,1028,13,https://letterboxd.com/film/shrek-forever-after/
269,Big Fish,2003,1027,13,https://letterboxd.com/film/big-fish/
270,The Blind Side,2009,1026,13,https://letterboxd.com/film/the-blind-side/
271,Watchmen,2009,1026,13,https://letterboxd.com/film/watchmen/
272,The Right Stuff,1983,1025,13,https://letterboxd.com/film/the-right-stuff/
273,The Spongebob Squarepants Movie,2004,1023,13,https://letterboxd.com/film/the-spongebob-squarepants-movie/
274,Happy Feet,2006,1021,13,https://letterboxd.com/film/happy-feet/
275,Spider-Man: Far From Home,2019,1021,13,https://letterboxd.com/film/spider-man-far-from-home/
276,Pacific Rim,2013,1019,13,https://letterboxd.com/film/pacific-rim/
277,Snow White and the Seven Dwarfs,1937,1018,13,https://letterboxd.com/film/snow-white-and-the-seven-dwarfs/
278,The Lego Ninjago Movie,2017,1016,13,https://letterboxd.com/film/the-lego-ninjago-movie/
279,Star Trek: Beyond,2016,1016,13,https://letterboxd.com/film/star-trek-beyond/
280,Friday the 13th Part 2,1981,1014,13,https://letterboxd.com/film/friday-the-13th-part-2/
281,Robots,2005,1012,13,https://letterboxd.com/film/robots/
